order_id,order_date,region,category,product,channel,customer_segment,quantity,unit_price,discount_pct,revenue,cost,profit,rating
100001,2023-04-13,West,Home & Kitchen,Air Fryer,Online,New Customer,3,1919.72,5,5471.2,3551.91,1919.29,
100002,2023-05-11,North,Clothing,Sneakers,In-Store,New Customer,4,886.89,0,3547.56,2323.48,1224.08,3.0
100003,2024-07-14,East,Clothing,Sneakers,In-Store,New Customer,3,1523.88,20,3657.31,2941.18,716.13,5.0
100004,2024-10-08,North,Clothing,Sneakers,In-Store,,2,1274.76,0,2549.52,1751.13,798.39,3.0
100005,2024-03-30,East,Home & Kitchen,Cookware Set,Online,New Customer,4,4291.16,5,16306.41,11317.37,4989.04,
100006,2024-12-03,West,Sports,Dumbbells,Online,Premium Member,4,653.27,0,2613.08,1640.32,972.76,
100007,2023-02-22,East,Electronics,Smartwatch,Online,New Customer,5,36336.23,0,181681.15,135784.38,45896.77,5.0
100008,2024-10-09,North,Home & Kitchen,Vacuum Cleaner,In-Store,Returning Customer,1,7586.75,15,6448.74,5160.62,1288.12,5.0
100009,2023-07-20,East,Clothing,T-Shirt,Online,New Customer,5,2634.74,5,12515.01,9583.11,2931.9,3.0
100010,2024-09-04,West,Home & Kitchen,Mixer Grinder,In-Store,New Customer,3,6654.61,5,18965.64,11081.6,7884.04,
100011,2024-07-28,West,Electronics,Smartwatch,Online,Returning Customer,5,12119.0,5,57565.25,42483.77,15081.48,
100012,2023-06-09,East,Home & Kitchen,Cookware Set,In-Store,Returning Customer,1,1981.54,5,1882.46,1176.42,706.04,3.0
100013,2023-11-27,South,Sports,Yoga Mat,Online,New Customer,1,4027.06,0,4027.06,2498.85,1528.21,1.0
100014,2024-12-10,South,Electronics,Bluetooth Speaker,In-Store,New Customer,3,15356.29,5,43765.43,31815.34,11950.09,2.0
100015,2024-05-11,North,Sports,Dumbbells,In-Store,Returning Customer,5,1995.11,0,9975.55,6702.7,3272.85,4.0
100016,2024-07-19,North,Electronics,Headphones,Online,New Customer,4,20812.9,5,79089.02,55656.97,23432.05,
100017,2023-07-03,North,Beauty,Sunscreen,Online,Premium Member,3,1497.11,10,4042.2,2605.62,1436.58,4.0
100018,2024-04-08,north,Sports,Running Shoes,In-Store,New Customer,3,4933.21,0,14799.63,8424.47,6375.16,5.0
100019,2024-10-01,South,Electronics,Laptop,Online,New Customer,2,12497.84,10,22496.11,17833.03,4663.08,4.0
100020,2024-07-25,North,Electronics,Smartwatch,Online,Premium Member,1,13414.57,10,12073.11,9649.53,2423.58,5.0
